Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-04-24,-1.8458629148136538,-1.856379166418961,-1.8666679321302648,-1.852091919488364,-0.28621639833873047,-0.24942248522713947,-1.8239969008163348,-1.912238147211813,-1.996671402183841,-0.2041401823300697,0.5066785858851363,-0.030841109099443223,-0.20330042610377586,-1.9945202968165627,-2.0678746173419493,0
2020-04-27,-1.830767656589529,-1.8473573033453996,-1.8543344055698707,-1.8280273315657156,0.31545141298181467,0.6685034057089639,-1.8311628404733873,-1.900201500142128,-1.9910248396814845,0.0,0.4201792775811819,-0.00683174505335252,-0.1645736759980635,-1.9850054939765873,-2.0661034905723805,1
2020-04-28,-1.827748337900188,-1.8473569972834898,-1.8635840876407357,-1.8370511731893242,0.2625271410793264,-0.2473134162943622,-1.8293712953917043,-1.893102995787196,-1.9836529191751384,-0.27218698685150017,0.2999976994151323,0.0017549928122309166,-0.13182525988324234,-1.9800698943070447,-2.055693453753418,0
2020-04-29,-1.8247296344152062,-1.8293139805187486,-1.8420010840308285,-1.8220112350980382,0.5836720861862386,0.41427979544077786,-1.8233996388992146,-1.8860044707013168,-1.9737714387468661,0.0,0.45552953179459466,0.01974699177073263,-0.1019240540668566,-1.979263874595533,-2.0354555527373623,1
2020-04-30,-1.8066150667486933,-1.8082629343332322,-1.8204172612351652,-1.7889221993959656,1.1169807911991696,0.903827183522352,-1.8126506491904104,-1.8748936780981749,-1.9642036506749334,0.3402337685595686,0.7442015526899178,0.06110077608094135,-0.06949312407557448,-1.9699886101248199,-2.0250484510750337,1
2020-05-04,-1.8519007345433676,-1.8593861836416454,-1.8666677257236657,-1.846075620968748,1.9099852077074226,-1.5329475504612367,-1.811456285802622,-1.8819921824531067,-1.9568317512397966,0.06804673519035737,0.38380125176244767,0.03930161380860249,-0.04803430924989952,-1.9746368771617733,-2.004272180251711,0
2020-05-05,-1.8398245874274717,-1.8503644203688598,-1.8605009615720665,-1.8430674717089401,-0.4047968938823992,0.08328174978403602,-1.8144420739372538,-1.887238915682111,-1.9505577987569587,-0.13609347808838254,0.2343923966893757,0.022267806435681704,-0.03437255034860438,-1.9778543289947768,-1.9873890689865858,1
2020-05-06,-1.8519007352273018,-1.8623934049148518,-1.8759177181018145,-1.8400595245010707,0.11050271326159516,0.08313524399016166,-1.815039295742761,-1.8866216517298195,-1.9464797296431138,0.20414020549254225,0.17800661256997102,0.009161931067647709,-0.02614012871131024,-1.977037951665129,-1.979560149610288,1
2020-05-07,-1.8519004351294919,-1.8443497778975575,-1.8635840893694053,-1.8310350767216468,-0.20848066783870453,0.24900117765953875,-1.8168307204896046,-1.8844611760694312,-1.9425585251447466,0.4082804798886023,0.2596695604444257,0.004685702613319431,-0.020475329671217818,-1.9751974655734623,-1.9731740542284186,1
2020-05-08,-1.8186913037981474,-1.8383353357078966,-1.8543340961274997,-1.8310350767216468,0.016793046438218513,0.0,-1.8251910235344455,-1.883226627433901,-1.9380098937912824,-0.3402337332405033,-0.560056355480662,-0.0010818731199991605,-0.01713036786303035,-1.975197200813921,-1.9634571379648735,0
2020-05-11,-1.8186914107999963,-1.829313779540275,-1.8389175494594079,-1.8099788401107446,-0.15519111547316597,0.5780510371902915,-1.81802504376578,-1.878905738305966,-1.9312653896044292,0.13609348525700876,-0.2564672692870612,0.011117069690129735,-0.011944045729764556,-1.9774597609179527,-1.9466016387180605,1
2020-05-12,-1.8337866659581454,-1.847357301287753,-1.8605010646007412,-1.846075620968748,0.9706615333999167,-0.9794322625605343,-1.818622225459674,-1.8807575301628405,-1.9260893788060878,-0.34023367595176984,-0.11003032459657397,-0.014085146063625755,-0.012981212071971464,-1.988051565283345,-1.9240876675095604,0
2020-05-13,-1.8609573700779736,-1.8563785604299945,-1.8759173108495997,-1.8340430239295162,-0.27906846687127274,0.333126999136166,-1.817427821960273,-1.880448887821221,-1.9223250178519895,0.54437400422277,0.04373504537631899,-0.025066505206588395,-0.016070738054916506,-1.9925573820528453,-1.9111722302815115,1
2020-05-14,-1.8609579702494607,-1.8684080474033868,-1.8759179227615568,-1.8581080159560415,0.11413956699061173,-0.661761733987596,-1.8228023769820945,-1.8841524922659174,-1.9205996967226158,0.0,-0.23062891128231738,-0.057213729473709965,-0.025157757574519806,-1.9959683824688785,-1.9037969720588528,0
2020-05-15,-1.8337866680169395,-1.8473573033453996,-1.8635843972436563,-1.8280273315657156,0.5082789214631704,0.8384798261059024,-1.822205275511426,-1.8881647597831803,-1.9169921793127862,0.06804673511237237,0.06824393981046531,-0.05692457531127783,-0.032367869742161534,-2.0017362799466256,-1.8898514833069788,1
2020-05-18,-1.8730338111105178,-1.877429503707497,-1.8913343667050475,-1.8761561033071357,2.555934263636331,-1.3190491874637105,-1.835342871660968,-1.8912510795446382,-1.9221681743077206,-0.13609347064784744,-0.4380526480183719,-0.10150819623689096,-0.04731057518498407,-2.009959711137619,-1.8920141379634645,0
2020-05-19,-1.8549198458113891,-1.874422386031245,-1.882084479628087,-1.8671320596315886,0.9302024332040038,0.254141544905029,-1.8395230231833883,-1.8937201560847519,-1.9260893998772968,-0.3402336568168223,-0.31504689320126045,-0.12937751641534012,-0.06499981212080222,-2.016915862042048,-1.8928669784464218,1
2020-05-20,-1.8609579702494607,-1.8744224878955997,-1.8851679133928487,-1.852091919488364,0.03520650688834982,0.42139155146547513,-1.8431061133467532,-1.894954704720282,-1.9264031080370432,0.13609345488671312,-0.31504537840583935,-0.13842610094371752,-0.08101325959989247,-2.016892115228445,-1.8935628359986414,1
2020-05-21,-1.8428433993118523,-1.8503642200872188,-1.8605007582887698,-1.8310350767216468,-0.04577809937129715,0.5849496009769833,-1.837731558324932,-1.894954704720282,-1.9253051400135353,0.2041402399442969,-0.40900993720376505,-0.12721683521904933,-0.09151732503949439,-2.0161350367047657,-1.8920361414725326,1
2020-05-22,-1.8519009369879766,-1.8684080474033868,-1.8851679133928487,-1.8641241124237191,0.3973511961905103,-0.9083841410343205,-1.8448975380935966,-1.8983497082852534,-1.9264030975014386,-0.3402336372167828,-0.24981378813620309,-0.14893693225659302,-0.10439023550425656,-2.015506897123156,-1.8950611186976327,0
